Loc,ID,Pat,Mat,Block,Initial,Germ,Pods,NumPods,NumSeeds,EarliestGerm,EarliestFlowPod,CrossType
1.1.1,DT,129B,330A,1,5,0,0,0,0,NA,NA,Fac
1.1.10,GF,337A,330A,1,5,2,0,0,0,132,NA,Fac
1.1.11,AW,P63J,B113G,1,5,0,0,0,0,NA,NA,Nes
1.1.12,CQ,P62I,P63H,1,5,1,1,9,11,132,209,Nes
1.1.13,AQ,R83F,Y125E,1,5,0,0,0,0,NA,NA,Nes
1.1.14,AG,B110A,Y126D,1,4,1,1,6,5,139,223,Nes
1.1.15,CU,P63G,P29D,1,5,3,1,4,0,132,223,Nes
1.1.16,BX,R80D,B53E,1,5,1,0,0,0,132,230,Nes
1.1.17,GR,R80H,P71B,1,5,0,0,0,0,NA,NA,Nes
1.1.18,CM,B22C,P29G,1,5,3,1,4,0,132,216,Nes
1.1.19,DZ,373B,336A,1,5,0,0,0,0,NA,NA,Fac
1.1.2,AZ,B22C,R88H,1,5,0,0,0,0,NA,NA,Nes
1.1.20,CN,B86B,R88B,1,5,1,0,0,0,174,230,Nes
1.1.21,CP,R84A,B113A,1,3,0,0,0,0,NA,NA,Nes
1.1.22,GC,139A,330A,1,5,3,1,14,0,132,202,Fac
1.1.23,DW,378A,118A,1,5,0,0,0,0,NA,NA,Fac
1.1.24,CX,14B,122C,1,2,1,1,1,1,139,223,Fac
1.1.3,CG,P63F,B86A,1,5,1,0,0,0,139,NA,Nes
1.1.4,XY,139C,130C130B,1,5,0,0,0,0,NA,NA,Fac
1.1.5,GQ,P29I,B111E,1,4,0,0,0,0,NA,NA,Nes
1.1.6,BA,P83M,B22G,1,5,1,1,3,4,132,209,Nes
1.1.7,BE,B22C,P27D,1,3,0,0,0,0,160,NA,Nes
1.1.8,CU,P63G,P29D,1,5,2,1,1,2,132,216,Nes
1.1.9,AB,B86B,P62J,1,1,1,0,0,0,132,NA,Nes
1.2.1,EI,14B,122A,1,5,2,2,8,13,132,209,Fac
1.2.10,AS,Y125D,B55F,1,4,0,0,0,0,NA,NA,Nes
1.2.11,DL,129A,120A,1,5,0,0,0,0,NA,NA,Fac
1.2.12,ES,139A,120B,1,5,1,0,0,0,139,NA,Fac
1.2.13,EG,330A,337A,1,1,0,0,0,0,NA,NA,Fac
1.2.14,DM,116A,31A,1,4,0,0,0,0,NA,NA,Fac
1.2.15,AJ,P63F,P27G,1,5,2,1,4,2,153,216,Nes
1.2.16,BG,P71A,B57E,1,5,1,1,8,14,146,223,Nes
1.2.17,XX,14A14C140C,122C,1,5,2,1,4,12,132,209,Fac
1.2.18,CW,B88B,P64B,1,5,3,1,6,18,132,209,Nes
1.2.19,CR,R80H,P38C,1,5,4,0,0,0,132,NA,Nes
1.2.2,CL,P62I,P83B,1,5,5,5,26,22,132,209,Nes
1.2.20,AH,P27F,Y126A,1,5,1,0,0,0,174,NA,Nes
1.2.21,ED,356A,14A,1,5,4,0,0,0,132,NA,Fac
1.2.22,AY,P31G,P62K,1,5,3,1,2,10,132,237,Nes
1.2.23,GL,P29A,P29J,1,5,1,0,0,0,132,NA,Nes
1.2.24,GN,B88B,P83J,1,5,1,0,0,0,146,237,Nes
1.2.3,GC,139A,330A,1,5,1,0,0,0,132,216,Fac
1.2.4,BC,B51C,P63L,1,2,2,0,0,0,146,244,Nes
1.2.5,EE,356A,14C,1,1,0,0,0,0,NA,NA,Fac
1.2.6,CP,R84A,B113A,1,5,0,0,0,0,NA,NA,Nes
1.2.7,EM,129B,130B,1,5,2,2,7,3,132,209,Fac
1.2.8,EQ,136A,122B,1,4,2,1,10,19,132,209,Fac
1.2.9,CF,P29H,P64F,1,5,2,1,1,2,132,223,Nes
1.3.1,XZ,misc,misc,1,5,1,1,5,0,132,202,Mis
1.3.10,AI,P63A,R82E,1,5,4,3,33,41,132,202,Nes
1.3.11,FB,330A,129B,1,5,0,0,0,0,NA,NA,Fac
1.3.12,BI,P64L,P83F,1,5,0,0,0,0,NA,NA,Nes
1.3.13,EN,375A,378A,1,1,0,0,0,0,NA,NA,Fac
1.3.14,EP,118A,378A,1,5,0,0,0,0,NA,NA,Fac
1.3.15,DG,337A,130B,1,2,0,0,0,0,NA,NA,Fac
1.3.16,FL,139A,130A,1,5,4,3,73,40,132,202,Fac
1.3.17,BH,P62F,R82H,1,5,4,4,56,41,132,209,Nes
1.3.18,BN,P63J,R88G,1,5,4,3,42,35,132,209,Nes
1.3.19,FW,129A,330A,1,5,0,0,0,0,NA,NA,Fac
1.3.2,DY,331A,121A,1,5,0,0,0,0,NA,NA,Fac
1.3.20,FH,122C,140C,1,5,3,3,11,17,132,216,Fac
1.3.21,CV,P63A,P31C,1,5,2,1,12,7,132,209,Nes
1.3.22,DK,22A,14C,1,4,1,1,12,18,132,223,Fac
1.3.23,BK,R84A,P71Fb,1,5,3,3,28,18,132,216,Nes
