Loc,Initial,Germ,SurvWk11,Pods,NumPods,NumSeeds,Herbivory,Mat,MatL,MatDam,MatSire,Pat,PatL,PatDam,PatSire,Block,EarliestGerm,EarliestFlowPod
1.1.1,5,0,0,0,0,0,0,15D1,15D,R88H,B22C,19C1,19C,B112E,R83F,1,NA,NA
1.1.10,5,3,2,1,3,0,1,2A5,2A,P64B,B88B,20A1,20A,P83B,P62I,1,161,208
1.1.11,3,0,0,0,0,0,0,15A1,15A,B114C,B110E,1E1,1E,31A,11A,1,NA,NA
1.1.12,5,0,0,0,0,0,0,10C1,10C,P83E,B112F,13E1,13E,R82K,Y123G,1,NA,NA
1.1.13,5,0,0,0,0,0,0,19E1,19E,140B,356A,9A3,9A,R88G,P63J,1,NA,NA
1.1.14,5,2,2,1,24,52,0,2B1,2B,140A,356A,21A1,21A,P63L,B51C,1,161,215
1.1.15,5,3,3,1,23,55,0,4A1,4A,P29E,B22C,16E1,16E,136A,356A,1,161,208
1.1.16,5,0,0,0,0,0,0,8B2,8B,P31M,P63A,13A2,13A,P71D,P29I,1,NA,NA
1.1.17,5,2,2,1,14,25,0,13B6,13B,P63B,Y123G,2B1,2B,140A,356A,1,161,208
1.1.18,5,0,0,0,0,0,0,11C1,11C,R880,B45H,13B3,13B,P63B,Y123G,1,NA,NA
1.1.19,5,0,0,0,0,0,0,5D1,5D,B88A,B110E,12C1,12C,R85B,P71A,1,NA,NA
1.1.2,5,0,0,0,0,0,0,9D3,9D,P38C,R80H,1B1,1B,14C,122C,1,NA,NA
1.1.20,5,2,2,1,21,71,0,7E1,7E,130C,129B,18B4,18B,P62H,P71A,1,176,215
1.1.21,5,0,0,0,0,0,0,13B5,13B,P63B,Y123G,5A3,5A,P29D,P63G,1,NA,NA
1.1.22,5,1,1,0,0,0,1,7E1,7E,130C,129B,14A2,14A,Y125E,R83F,1,161,NA
1.1.23,5,1,1,1,3,6,0,7A1,7A,P64D,B86B,2A5,2A,P64B,B88B,1,161,NA
1.1.24,5,1,1,1,4,13,0,20A2,20A,P83B,P62I,16C2,16C,331A,32A,1,161,NA
1.1.25,5,2,1,0,0,0,0,20A1,20A,P83B,P62I,8C1,8C,140B,122B,1,161,NA
1.1.26,1,0,0,0,0,0,0,16D2,16D,337A,120B,7A3,7A,P64D,B86B,1,NA,NA
1.1.27,5,2,2,1,3,16,0,9A3,9A,R88G,P63J,4C2,4C,P29C,R81E,1,161,215
1.1.28,5,3,2,1,17,30,0,9C1,9C,122B,140B,12D1,12D,P62E,R80D,1,161,215
1.1.29,5,0,0,0,0,0,0,7E1,7E,130C,129B,1D1,1D,P31C,P63A,1,NA,NA
1.1.3,5,1,0,0,0,0,0,10B1,10B,P38D,R81E,13A2,13A,P71D,P29I,1,176,NA
1.1.30,5,2,1,0,0,0,0,8A1,8A,330A,139A,13C1,13C,331B,357B,1,161,NA
1.1.31,5,1,1,0,0,0,0,8E1,8E,330A,139C,5A4,5A,P29D,P63G,1,161,NA
1.1.32,5,1,1,0,0,0,0,16D2,16D,337A,120B,20A3,20A,P83B,P62I,1,161,NA
1.1.33,5,1,0,0,0,0,0,10B1,10B,P38D,R81E,19D3,19D,B113A,R84A,1,161,NA
1.1.34,5,2,2,1,4,10,0,7A1,7A,P64D,B86B,2A4,2A,P64B,B88B,1,161,222
1.1.35,5,1,1,0,0,0,0,10B3,10B,P38D,R81E,13A1,13A,P71D,P29I,1,161,NA
1.1.36,4,1,1,0,0,0,1,15D1,15D,R88H,B22C,11A1,11A,P83D,P71A,1,161,NA
1.1.37,5,1,1,0,0,0,1,20E2,20E,R88B,B86B,10B1,10B,P38D,R81E,1,176,NA
1.1.38,5,0,0,0,0,0,0,13E1,13E,R82K,Y123G,14B2,14B,P83I,P29I,1,NA,NA
1.1.39,5,0,0,0,0,0,0,1E1,1E,31A,11A,15A1,15A,B114C,B110E,1,NA,NA
1.1.4,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D1,5D,B88A,B110E,1,NA,NA
1.1.40,5,0,0,0,0,0,0,5D2,5D,B88A,B110E,12C1,12C,R85B,P71A,1,NA,NA
1.1.41,5,1,1,1,6,0,0,7E1,7E,130C,129B,14A1,14A,Y125E,R83F,1,176,222
1.1.42,5,0,0,0,0,0,0,16E1,16E,136A,356A,5D1,5D,B88A,B110E,1,NA,NA
1.1.43,3,1,1,0,0,0,1,18C1,18C,P64C,R83F,7A1,7A,P64D,B86B,1,161,NA
1.1.44,5,0,0,0,0,0,0,10C1,10C,P83E,B112F,11E2,11E,130A,139A,1,NA,NA
1.1.45,5,0,0,0,0,0,0,20A3,20A,P83B,P62I,16D4,16D,337A,120B,1,NA,NA
1.1.46,5,2,2,0,0,0,1,10B1,10B,P38D,R81E,19D2,19D,B113A,R84A,1,161,NA
1.1.47,5,3,3,1,28,151,0,10B1,10B,P38D,R81E,13A1,13A,P71D,P29I,1,161,208
1.1.48,5,1,1,0,0,0,0,1D1,1D,P31C,P63A,9D3,9D,P38C,R80H,1,161,NA
1.1.49,5,0,0,0,0,0,0,1D1,1D,P31C,P63A,7E2,7E,130C,129B,1,NA,NA
1.1.5,5,1,0,0,0,0,1,11C1,11C,R880,B45H,21A1,21A,P63L,B51C,1,161,NA
1.1.50,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,18C2,18C,P64C,R83F,1,NA,NA
1.1.51,5,0,0,0,0,0,0,2B1,2B,140A,356A,13B6,13B,P63B,Y123G,1,NA,NA
1.1.52,5,0,0,0,0,0,0,8B2,8B,P31M,P63A,19D4,19D,B113A,R84A,1,NA,NA
1.1.53,5,0,0,0,0,0,0,20A2,20A,P83B,P62I,2A5,2A,P64B,B88B,1,NA,NA
1.1.54,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,19D4,19D,B113A,R84A,1,NA,NA
1.1.55,5,0,0,0,0,0,0,21A1,21A,P63L,B51C,11C1,11C,R880,B45H,1,NA,NA
1.1.6,5,1,1,1,2,0,0,3D1,3D,P27D,B22C,9C1,9C,122B,140B,1,161,222
1.1.7,5,2,2,0,0,0,1,2A4,2A,P64B,B88B,5A5,5A,P29D,P63G,1,161,NA
1.1.8,5,0,0,0,0,0,0,12C1,12C,R85B,P71A,5D3,5D,B88A,B110E,1,NA,NA
1.1.9,5,2,1,1,2,4,0,16D4,16D,337A,120B,20A3,20A,P83B,P62I,1,161,231
1.10.1,5,0,0,0,0,0,0,14A2,14A,Y125E,R83F,7E2,7E,130C,129B,1,NA,NA
1.10.2,5,0,0,0,0,0,0,18B2,18B,P62H,P71A,7E2,7E,130C,129B,1,NA,NA
1.10.3,5,0,0,0,0,0,0,21B4,21B,P62B,R85A,13C2,13C,331B,357B,1,NA,NA
1.10.4,5,0,0,0,0,0,0,5A6,5A,P29D,P63G,16D2,16D,337A,120B,1,NA,NA
1.10.5,2,0,0,0,0,0,0,2C1,2C,122B,136,1E1,1E,31A,11A,1,NA,NA
1.10.6,5,0,0,0,0,0,0,20A2,20A,P83B,P62I,16D2,16D,337A,120B,1,NA,NA
1.10.7,5,1,1,0,0,0,0,2B1,2B,140A,356A,4B1,4B,P29G,B22C,1,173,NA
1.10.8,4,0,0,0,0,0,0,4C1,4C,P29C,R81E,11B1,11B,R84E,R81D,1,NA,NA
1.2.1,5,0,0,0,0,0,0,11C2,11C,R880,B45H,13B7,13B,P63B,Y123G,1,NA,NA
1.2.10,5,1,1,1,1,1,0,7A2,7A,P64D,B86B,2A4,2A,P64B,B88B,1,173,215
1.2.11,5,0,0,0,0,0,0,5A3,5A,P29D,P63G,13B5,13B,P63B,Y123G,1,NA,NA
1.2.12,5,0,0,0,0,0,0,2A1,2A,P64B,B88B,16C1,16C,331A,32A,1,NA,NA
1.2.13,5,1,1,1,2,13,0,1B2,1B,14C,122C,13A2,13A,P71D,P29I,1,173,222
1.2.14,5,0,0,0,0,0,0,11C2,11C,R880,B45H,13B4,13B,P63B,Y123G,1,NA,NA
1.2.15,5,0,0,0,0,0,0,13E2,13E,R82K,Y123G,14B2,14B,P83I,P29I,1,NA,NA
1.2.16,5,0,0,0,0,0,0,20E2,20E,R88B,B86B,8B2,8B,P31M,P63A,1,NA,NA
1.2.17,5,0,0,0,0,0,0,6D1,6D,B22B,P27F,4B1,4B,P29G,B22C,1,NA,NA
1.2.18,5,5,4,1,106,154,0,18B3,18B,P62H,P71A,7E2,7E,130C,129B,1,152,215
1.2.19,5,4,3,1,16,53,0,18B2,18B,P62H,P71A,9D3,9D,P38C,R80H,1,152,215
1.2.2,5,0,0,0,0,0,0,1B2,1B,14C,122C,20E2,20E,R88B,B86B,1,NA,NA
1.2.21,5,0,0,0,0,0,0,7B1,7B,P64F,P29H,11D1,11D,140C,122C,1,NA,NA
1.2.22,5,4,4,1,11,43,0,13B4,13B,P63B,Y123G,2B1,2B,140A,356A,1,152,215
1.2.23,5,3,3,1,6,20,1,21A1,21A,P63L,B51C,11C2,11C,R880,B45H,1,152,212
1.2.24,5,3,2,1,16,137,0,5A1,5A,P29D,P63G,9C1,9C,122B,140B,1,152,215
1.2.25,5,0,0,0,0,0,0,20A2,20A,P83B,P62I,16D4,16D,337A,120B,1,NA,NA
1.2.26,5,0,0,0,0,0,0,3D1,3D,P27D,B22C,13B2,13B,P63B,Y123G,1,NA,NA
1.2.27,5,0,0,0,0,0,0,15D1,15D,R88H,B22C,11C1,11C,R880,B45H,1,NA,NA
1.2.28,5,1,1,1,5,20,0,6D4,6D,B22B,P27F,13B3,13B,P63B,Y123G,1,173,229
1.2.29,5,1,1,1,3,29,0,2A2,2A,P64B,B88B,2C1,2C,122B,136A,1,173,215
1.2.3,5,0,0,0,0,0,0,10B3,10B,P38D,R81E,11D1,11D,140C,122C,1,NA,NA
1.2.30,5,1,1,1,3,15,0,13C1,13C,331B,357B,8A1,8A,330A,139A,1,194,229
1.2.31,5,4,3,1,31,0,1,8C1,8C,140B,122B,20A2,20A,P83B,P62I,1,152,204
