Loc2013p,Block,Initial,Germ,NumPods,NumSeeds,SpGerm,SoGerm,SpSurv,SoSurv,MaxPods_Sp,MaxPods_So,NumSeed_SP,NumSeed_SO,SP_Leading_Bud,SO_Leading_Bud,SP_Leading_Flw,SO_Leading_Flw,SP_Leading_Pod,SO_Leading_Pod,SO_Lead_MaturePod,Sp_Lead_MaturePod,Pods_Sp,Pods_So,Pods,EarliestGerm,EarliestFlowPod
1.1.12,1,22,3,5,0,1,2,0,2,0,5,0,0,NA,208,NA,215,NA,222,NA,NA,0,1,1,133,215
1.1.14,1,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.1.24,1,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.1.6,1,8,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.1.8,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.2.1,1,26,3,10,7,2,1,2,0,10,0,7,0,207,NA,215,NA,215,NA,NA,NA,2,0,2,166,NA
1.2.15,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.2.16,1,28,1,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.2.17,1,24,4,11,0,3,1,3,1,11,0,0,0,202,178,208,215,222,222,NA,NA,1,0,1,166,208
1.2.18,1,32,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.2.2,1,42,2,11,29,2,0,2,0,11,0,29,0,202,NA,215,NA,222,NA,NA,NA,2,0,2,133,NA
1.2.22,1,20,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.2.7,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.2.8,1,38,3,7,0,3,0,2,0,7,0,0,0,202,NA,215,NA,215,NA,NA,NA,3,0,3,134,NA
1.2.9,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.3.10,1,74,10,32,136,5,5,5,4,22,10,129,7,202,202,215,215,222,222,NA,NA,5,3,8,153,215
1.3.16,1,78,8,1,0,6,2,4,2,0,1,0,0,202,202,215,NA,NA,230,NA,NA,0,1,1,153,215
1.3.17,1,80,6,26,84,6,0,5,0,26,0,84,0,202,NA,208,NA,215,NA,NA,NA,2,0,2,153,NA
1.3.18,1,68,15,10,38,9,6,5,5,0,10,0,38,NA,208,NA,215,NA,222,NA,NA,0,3,3,153,215
1.3.20,1,28,2,9,63,1,1,1,1,0,9,2,61,NA,202,230,220,NA,NA,NA,NA,0,1,1,153,220
1.3.21,1,14,2,3,15,1,1,1,1,0,3,0,15,NA,208,NA,NA,NA,NA,NA,NA,0,1,1,153,NA
1.3.22,1,30,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.3.23,1,34,2,3,21,0,2,0,2,0,3,0,21,NA,208,NA,222,NA,NA,NA,NA,0,1,1,187,222
1.3.3,1,92,2,0,0,1,1,0,1,0,0,0,0,NA,208,NA,215,NA,NA,NA,NA,0,0,0,153,215
1.3.5,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.3.6,1,12,5,21,37,3,2,2,1,14,7,37,0,202,202,208,208,220,222,NA,NA,1,1,2,153,208
1.4.1,1,28,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.4.10,1,128,15,9,18,6,9,6,9,1,8,0,18,202,202,NA,222,230,222,NA,NA,1,3,4,142,222
1.4.11,1,84,13,18,20,7,6,7,7,13,5,0,20,202,202,208,215,222,222,NA,NA,2,5,7,142,208
1.4.15,1,78,8,18,0,5,3,7,3,1,17,0,0,202,202,215,208,222,208,NA,NA,1,1,2,142,208
1.4.22,1,72,15,47,49,14,1,7,1,47,0,49,0,202,208,215,NA,222,NA,NA,NA,7,0,7,142,215
1.4.5,1,48,1,8,23,1,0,1,0,8,0,17,6,202,NA,215,NA,222,NA,NA,NA,1,0,1,NA,NA
1.4.8,1,98,4,1,2,4,0,4,0,1,0,0,2,202,NA,215,NA,215,NA,NA,NA,1,0,1,142,NA
1.4.9,1,42,7,6,36,4,3,4,3,0,6,21,15,202,202,208,222,215,222,NA,NA,0,1,1,142,208
1.5.1,1,24,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.5.10,1,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.5.18,1,8,2,0,0,1,1,1,0,0,0,0,0,230,NA,NA,NA,NA,NA,NA,NA,0,0,0,155,NA
1.5.21,1,84,21,6,19,17,4,10,3,0,6,0,19,202,202,215,215,222,222,NA,NA,0,2,2,155,215
1.5.3,1,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.5.6,1,6,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,155,NA
1.6.1,1,10,2,0,0,2,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,142,NA
1.6.11,1,96,2,12,8,2,0,2,0,12,0,8,0,202,NA,215,NA,215,NA,NA,NA,2,0,2,168,NA
1.6.12,1,64,8,5,8,8,0,5,0,5,0,8,0,222,NA,230,NA,NA,NA,NA,NA,1,0,1,142,NA
1.6.15,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.6.9,1,20,1,0,0,1,0,1,0,0,0,0,0,230,NA,NA,NA,NA,NA,NA,NA,0,0,0,142,NA
1.7.11,1,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.7.19,1,24,2,1,6,1,1,0,1,0,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,173,NA
1.7.2,1,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.7.3,1,52,3,0,0,3,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,148,NA
1.7.6,1,10,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,148,NA
1.8.10,1,68,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.8.4,1,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
1.8.8,1,72,2,5,10,0,2,0,1,0,5,0,10,NA,202,NA,222,NA,222,NA,NA,0,1,1,159,222
2.1.11,2,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
2.1.5,2,14,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
2.10.3,2,16,1,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,168,NA
2.10.4,2,20,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
2.10.5,2,84,11,13,40,9,2,2,2,0,13,0,40,NA,NA,223,NA,NA,NA,NA,NA,0,2,2,145,223
2.10.7,2,18,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
