Date,T_Max,T_Min
11/1/12,10.7,-3.5
11/2/12,8.1,-3
11/3/12,4.4,-2.8
11/4/12,6.6,0.4
11/5/12,7,0.6
11/6/12,7,3.3
11/7/12,7.1,3.3
11/8/12,8.4,1.7
11/9/12,12.7,1.8
11/10/12,12.4,1.9
11/11/12,21.3,2.8
11/12/12,2.9,-7.3
11/13/12,-2.8,-8.6
11/14/12,6.7,-8.1
11/15/12,11.2,0.1
11/16/12,11.1,-5.7
11/17/12,7.1,-6.3
11/18/12,13.8,3
11/19/12,14.9,6.4
11/20/12,15.4,1.3
11/21/12,12.3,0.3
11/22/12,16.7,6.3
11/23/12,13.6,-7.6
11/24/12,-2.6,-12.1
11/25/12,-0.5,-12.1
11/26/12,-0.7,-11.1
11/27/12,-5.4,-11.9
11/28/12,4.1,-8.4
11/29/12,2.6,-4.6
11/30/12,4.7,-4.7
12/1/12,3.3,-0.3
12/2/12,8.7,-2.4
12/3/12,9.6,-2
12/4/12,12.8,-0.1
12/5/12,1.5,-7.8
12/6/12,7.8,-7
12/7/12,6.8,-4.9
12/8/12,-0.4,-5.9
12/9/12,0.3,-3.8
12/10/12,-0.2,-12.3
12/11/12,-9.6,-18.7
12/12/12,-5.8,-13.9
12/13/12,4.9,-6.2
12/14/12,2.6,-9.2
12/15/12,3.9,-9.5
12/16/12,2.9,-0.9
12/17/12,-0.2,-7.1
12/18/12,-3.8,-6.2
12/19/12,-0.8,-4.8
12/20/12,-0.6,-5.7
12/21/12,-3.3,-13.1
12/22/12,-6.1,-13.9
12/23/12,-2.4,-12
12/24/12,-7.1,-12.4
12/25/12,-8,-17.8
12/26/12,-11,-18.4
12/27/12,-6.8,-14.9
12/28/12,-5.8,-13
12/29/12,-4,-11.8
12/30/12,-8.4,-17.6
12/31/12,-4.3,-18
1/1/13,-9.9,-22.4
1/2/13,-6.3,-23.1
1/3/13,-5.5,-10
1/4/13,-7,-12.6
1/5/13,-1.9,-13.2
1/6/13,-4.8,-13
1/7/13,-1.1,-11.8
1/8/13,2.1,-8.7
1/9/13,1.5,-8.2
1/10/13,1.5,-4.6
1/11/13,4.3,-0.4
1/12/13,5,-7.3
1/13/13,-7.7,-16.2
1/14/13,-12.4,-16.6
1/15/13,-10,-14.6
1/16/13,-0.6,-12.4
1/17/13,2.9,-14
1/18/13,-5.3,-14.8
1/19/13,5.4,-4.8
1/20/13,4.2,-17.8
1/21/13,-12.6,-22.8
1/22/13,-18.9,-23.4
1/23/13,-12.5,-23.6
1/24/13,-8.3,-20.8
1/25/13,-7.9,-20
1/26/13,-6.7,-17.3
1/27/13,-2,-17.5
1/28/13,1,-1.6
1/29/13,1.8,-0.7
1/30/13,2,-5.1
1/31/13,-5.6,-16.1
2/1/13,-15.6,-24.2
2/2/13,-14,-24.6
