Date,T_Max,T_Min,T_Mean
2012-11,7.90,-2.60,2.70
2012-12,-0.60,-9.40,-5.00
2013-01,-3.60,-13.20,-8.40
2013-02,-3.40,-12.70,-8.10
2013-03,0.90,-8.00,-3.50
2013-04,8.60,-0.50,4.00
2013-05,19.40,8.30,13.80
2013-06,25.00,14.70,19.80
2013-07,28.60,17.30,23.00
2013-08,28.60,16.50,22.60
2013-09,25.50,12.60,19.10
2013-10,14.90,4.20,9.50
2013-11,5.30,-4.40,0.50
2013-12,-6.40,-15.70,-11.00
2014-01,-7.70,-19.50,-13.60
2014-02,-8.30,-19.00,-13.60
2014-03,0.30,-9.30,-4.50
2014-04,11.40,0.60,6.00
2014-05,19.90,8.80,14.30
2014-06,25.90,15.40,20.70
2014-07,26.80,16.10,21.50
2014-08,27.80,17.00,22.40
2014-09,22.60,10.60,16.80
2014-10,15.40,3.40,9.50
2014-11,1.00,-8.30,-3.50
2014-12,-1.20,-7.60,-4.00
2015-01,-3.50,-12.10,-7.80
2015-02,-6.60,-16.50,-11.60
2015-03,6.80,-4.60,1.10
2015-04,15.60,3.30,9.40
2015-05,20.30,9.20,14.70
2015-06,25.90,14.90,20.40
2015-07,28.00,16.70,22.30
2015-08,26.20,15.40,20.80
2015-09,25.40,14.30,19.90
2015-10,17.00,5.10,11.10
2015-11,10.10,0.60,5.40
